DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Aug-2025,EQ,"409.10","410.25","405.45","409.10","406.25","406.05","407.87","471.50","390.15","1,81,88,129","7,41,84,16,584.55","1,58,846"
19-Aug-2025,EQ,"406.35","409.40","404.50","406.30","409.10","409.10","406.86","471.50","390.15","1,66,81,331","6,78,69,12,397.30","1,75,005"
18-Aug-2025,EQ,"413.00","413.70","404.85","411.45","405.30","406.30","408.70","471.50","390.15","3,09,50,814","12,64,96,59,054.30","1,93,343"
14-Aug-2025,EQ,"414.25","415.05","411.00","414.10","411.45","411.45","412.48","471.50","390.15","95,80,361","3,95,16,69,337.50","1,22,767"
13-Aug-2025,EQ,"417.20","417.50","413.60","416.35","414.20","414.10","414.82","471.50","390.15","1,08,74,910","4,51,10,79,760.80","86,765"
12-Aug-2025,EQ,"417.00","419.80","415.30","416.85","416.10","416.35","417.43","471.50","390.15","1,36,35,738","5,69,20,02,511.40","1,05,553"
11-Aug-2025,EQ,"414.50","417.00","414.00","414.50","417.00","416.85","416.05","471.50","390.15","85,14,272","3,54,23,55,434.80","1,11,986"
08-Aug-2025,EQ,"413.90","415.35","412.95","413.60","414.45","414.50","414.32","471.50","390.15","98,14,361","4,06,62,50,194.90","95,336"
07-Aug-2025,EQ,"412.00","414.75","411.65","412.00","413.80","413.60","413.34","471.50","390.15","1,15,14,878","4,75,95,38,600.10","1,07,647"
06-Aug-2025,EQ,"414.15","415.00","410.50","414.15","412.20","412.00","411.74","471.50","390.15","90,80,543","3,73,88,41,645.30","1,23,746"
05-Aug-2025,EQ,"417.20","417.95","413.00","416.85","413.80","414.15","414.33","471.50","390.15","84,95,104","3,51,97,98,904.05","1,47,684"
04-Aug-2025,EQ,"420.20","422.50","415.10","416.45","416.65","416.85","417.96","471.50","390.15","1,83,52,458","7,67,05,04,419.40","3,46,053"
01-Aug-2025,EQ,"412.40","419.35","411.80","411.95","416.60","416.45","416.54","471.50","390.15","1,43,24,065","5,96,65,72,601.75","1,43,905"
31-Jul-2025,EQ,"405.95","414.00","405.55","407.60","411.70","411.95","410.46","471.50","390.15","1,93,64,174","7,94,81,30,344.70","1,45,541"
